"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","152/3909","400/18986",0.38,1.84565873624968,8.70387885349252,5.04404994630055e-16,3.18481313609417e-12,2.75086555492454e-12,"ADAM17/ARG1/ARID5A/ATAD5/B2M/BRD2/BRD4/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD226/CD274/CD28/CD46/CD55/CD69/CD70/CD8A/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL13/CYRIB/DENND1B/ENTPD7/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GNL1/HLA-DRA/HLA-DRB1/HLA-F/HLX/HRAS/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL1B/IL21R/IL2RB/IL7R/IRF4/IRF7/JAK2/JUNB/KLHL6/KMT5C/LEF1/LGALS1/MALT1/MAP3K7/MASP2/MEF2C/MICA/MPL/MTOR/MYO1G/NBN/NCKAP1L/NFKB2/NFKBIZ/PARP3/PKN1/PRKCQ/PTPRC/RC3H1/RFTN1/RIPK2/RNF168/SEMA4A/SLAMF1/SLAMF6/SLC15A4/SMAD7/STAT4/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR4/TLR8/TNFSF13/TNFSF13B/TNFSF4/TRAF2/TRPM4/TYK2/UFL1/ULBP2/UNC93B1/ZBTB7B",152
"GO:0030098","GO:0030098","lymphocyte differentiation","154/3909","426/18986",0.36150234741784,1.75581569917501,8.03364044785928,4.61150700147421e-14,1.45585276036541e-10,1.25748514603357e-10,"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/ATM/AXL/B2M/BAD/BAX/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD19/CD2/CD28/CD3D/CD46/CD69/CD79A/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CR2/CTLA4/CTSL/CYLD/DCLRE1C/DDRGK1/DLL1/DNAJB9/DOCK10/DOCK11/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/EZH2/FBXO7/FCRL3/FNIP1/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR89A/GPR89B/GPS2/HDAC5/HHEX/HLA-DRA/HLA-DRB1/HLX/ID2/IFNG/IGHM/IKZF1/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITGA4/ITK/JAG2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/LRRC8A/MALT1/MTOR/NCAPH2/NCKAP1L/NFIL3/NFKBIZ/PAX5/PGLYRP3/PIK3R2/PLCL2/PPP2R3C/PRDM1/PRDX2/PRKDC/PTK2B/PTPN2/PTPRC/PTPRJ/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RNF41/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF1/SLAMF6/SLC39A7/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/ST3GAL1/STAT4/STK11/SYK/TBX21/TCF3/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF13B/TNFSF4/TOX/TPD52/VNN1/XBP1/ZAP70/ZBTB7A/ZBTB7B/ZEB1/ZFPM1",154
"GO:0019724","GO:0019724","B cell mediated immunity","91/3909","212/18986",0.429245283018868,2.08484291209932,8.08792374705639,1.21104058264017e-13,2.07728927121341e-10,1.79424765586194e-10,"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CD70/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL21R/IL2RB/IRF7/KMT5C/MASP2/MPL/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",91
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","90/3909","209/18986",0.430622009569378,2.09152966837662,8.07934685067481,1.31598940209909e-13,2.07728927121341e-10,1.79424765586194e-10,"ATAD5/C4A/C4B/CARD9/CCR6/CD19/CD226/CD28/CD46/CD55/CLU/CR1/CR1L/CR2/CSF2RB/ERCC1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL21R/IL2RB/IRF7/KMT5C/MASP2/MPL/NBN/NFKBIZ/PARP3/PTPRC/RNF168/SLC15A4/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4",90
"GO:0002449","GO:0002449","lymphocyte mediated immunity","139/3909","386/18986",0.360103626943005,1.7490221184804,7.57028955843814,1.11535189943937e-12,1.40846637861204e-09,1.21655540863061e-09,"AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD8A/CD96/CLEC12B/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CYRIB/DENND1B/ERCC1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FZD5/GATA3/GFER/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL21R/IL2RB/IL7R/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYST/MALT1/MAP3K7/MASP2/MICA/MPL/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PTPRC/RASGRP1/RFTN1/RNF168/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/STX7/SUPT6H/SUSD4/TBX21/TFRC/TGFB1/TLR8/TNFSF13/TNFSF4/TRAF2/TRPM4/UFL1/ULBP2/UNC93B1",139
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","133/3909","369/18986",0.360433604336043,1.750624817581,7.41415944404757,3.18218149277782e-12,3.34871565756652e-09,2.89243549369857e-09,"BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CHUK/CLEC12B/CLEC4D/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP2K4/MAP2K7/MAP3K1/MAP3K7/MAPK8/MEF2C/MFHAS1/MNDA/MYO1G/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PRKCQ/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",133
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","122/3909","336/18986",0.363095238095238,1.76355236389772,7.19034477520386,1.43327610646189e-11,1.29281504802863e-08,1.11666218159084e-08,"BAG6/BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CHUK/CLEC7A/CR1/CR2/CTLA4/CYLD/DAB2IP/DENND1B/ECSIT/EIF2B4/ELF1/F2RL1/FCMR/FCRL3/FOSL2/FPR1/FPR2/FPR3/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IFI35/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/IRAK1/IRAK4/IRF3/ITK/KCNN4/KLHL6/KLRC3/KLRK1/LAPTM5/LBP/LCP2/LIMK1/LPXN/LY96/LYN/MALT1/MAP3K7/MEF2C/MFHAS1/MNDA/MYO1G/NCKAP1L/NFATC2/NFKB1/NFKBIZ/NR1D1/PDE4B/PDE4D/PELI1/PHPT1/PIK3AP1/PLCL2/PLD2/PLSCR1/PRKCB/PRKCE/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/TAX1BP1/THEMIS/TLR1/TLR2/TLR4/TLR5/TLR6/TRAC/TRAF3/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TRIL/TXK/UBR2/ZAP70",122
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","86/3909","212/18986",0.405660377358491,1.97029110374221,7.23389568387182,2.2296782192653e-11,1.75977353455514e-08,1.5199951123702e-08,"BANK1/BAX/BCAR1/BCL2/BTN3A1/CACNB3/CCR7/CD19/CD226/CD28/CD38/CD3D/CD79A/CD8A/CTLA4/CYLD/DENND1B/EIF2B4/ELF1/FCMR/FCRL3/FOSL2/FYB1/GATA3/GBP1/GCSAM/GPS2/HLA-DRB1/HRAS/ICOSLG/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC3/IGLC7/ITK/KCNN4/KLHL6/LAPTM5/LCP2/LPXN/LYN/MALT1/MAP3K7/MEF2C/MNDA/NCKAP1L/NFATC2/NFKB1/NFKBIZ/PDE4B/PDE4D/PHPT1/PLCL2/PRKCB/PTPN2/PTPRC/PTPRJ/RAB29/RBCK1/RC3H1/RELA/RFTN1/RIPK2/RNF31/SHB/SKAP1/STAP1/STK11/SYK/THEMIS/TRAC/TRAT1/TRBC1/TRBC2/TRDC/TRGC2/TXK/UBR2/ZAP70",86
"GO:0002443","GO:0002443","leukocyte mediated immunity","160/3909","485/18986",0.329896907216495,1.60230818122598,6.84183660955894,7.03351840798141e-11,4.93440391422162e-08,4.26206536511715e-08,"ADAM17/ADGRE2/AP1G1/ARG1/ARID5A/ARL8B/ATAD5/B2M/C4A/C4B/CARD9/CCR2/CCR6/CD19/CD2/CD226/CD274/CD28/CD46/CD55/CD70/CD84/CD8A/CD96/CLEC12B/CLEC7A/CLU/CR1/CR1L/CR2/CSF2RB/CTSC/CXCL6/CYRIB/DENND1B/DNASE1L3/ERCC1/F2RL1/FBXO38/FCER2/FCGR1A/FCGR2A/FCGR3A/FCMR/FES/FZD5/GAB2/GATA3/GFER/GNL1/GZMB/HLA-DRA/HLA-DRB1/HLA-F/IGHA1/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-26/IGHV2-70/IGHV2-70D/IGHV3-11/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-53/IGHV3-64/IGHV3-64D/IGHV3-66/IGHV3-7/IGHV3-72/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-10-1/IGHV5-51/IGHV6-1/IGKC/IGLC1/IGLC2/IGLC3/IGLC7/IGLL5/IL18RAP/IL1B/IL21R/IL2RB/IL7R/IRAK4/IRF7/KLRB1/KLRC3/KLRK1/KMT5C/LYN/LYST/MALT1/MAP3K7/MASP2/MICA/MPL/MYO1G/NBN/NCKAP1L/NFKBIZ/NKG7/PARP3/PIK3CG/PTPRC/RASGRP1/RFTN1/RNF168/S100A13/SLAMF1/SLAMF6/SLAMF7/SLC15A4/SMAD7/SPHK2/STAP1/STX4/STX7/SUPT6H/SUSD4/SYK/TBX21/TFRC/TGFB1/TLR4/TLR8/TNFSF13/TNFSF4/TRAF2/TREM1/TRPM4/UFL1/ULBP2/UNC93B1/VAMP2/VAMP8",160
"GO:0030217","GO:0030217","T cell differentiation","115/3909","320/18986",0.359375,1.74548317984139,6.84806503269031,1.14430121964605e-10,7.22511790084517e-08,6.24065749366968e-08,"ADAM17/AP3B1/AP3D1/ARID2/ARMC5/ATG5/B2M/BAD/BCL11B/BCL2/BMP4/BRD2/BRD4/CAMK4/CCR2/CCR6/CCR7/CD2/CD28/CD3D/CD46/CD69/CD83/CD86/CD8A/CHD7/CLEC4D/CR1/CTLA4/CTSL/CYLD/DOCK2/EGR1/EGR3/ENTPD7/ERBB2/FOSL2/FZD5/FZD7/FZD8/GATA3/GPR183/GPR89A/GPR89B/HLA-DRA/HLA-DRB1/HLX/IFNG/IKZF3/IL15/IL1B/IL2RA/IL2RG/IL7/IL7R/IRF1/IRF4/ITK/JAG2/JUNB/KAT2A/KDELR1/LEF1/LFNG/LGALS1/MALT1/MTOR/NCAPH2/NCKAP1L/NFKBIZ/PIK3R2/PRDM1/PRDX2/PRKDC/PTPN2/PTPRC/RARA/RASGRP1/RC3H1/RHOH/RIPK2/RUNX1/RUNX3/SART1/SEMA4A/SHB/SHH/SLAMF6/SLC4A2/SMAD7/SMARCA4/SMARCC2/SMARCD2/SMARCD3/SOS2/SOX12/SOX13/SP3/SRF/STAT4/STK11/SYK/TBX21/TGFB1/TGFBR2/THEMIS/TMEM131L/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB7B/ZEB1/ZFPM1",115
